fecha,linea_negocio,producto,cantidad,monto,canal
08/07/2026,educacion,,5,7665.53,WhatsApp
2026-01-19,print ,Impresión resina por encargo,1,193.34,WhatsApp
2026-08-23,icon,Llavero coleccionable,3,S/ 71.39,IG
2026-05-17,Industrial,Pieza técnica B2B,1,S/ 842.05,whatsapp
4-may-26,ICON,Set diorama,1,S/ 141.28,
2026-04-20,ICON,Figura KUSI 10cm,5,S/ 357.90,Feria
2025-10-01,ICON,Figura pintada a mano,2,"206,05",Instagram
17-mar-26,Icon ,Figura Quri 8cm,2,"80,30",whatsapp
2025-10-11,ICON,Figura KUSI 10cm,3,-156.15,Feria
2025-08-21,educacion,Capacitación docentes,1,888.14,Instagram
3-jul-26,TECH,Matriz/fixture,1,1069.22,Referido
22-may-26,Coleccionables,Figura KUSI 10cm,1,53.06,whatsapp
18/08/2026,Print,Impresión PLA por encargo,1,S/ 50.39,Feria
2025-05-03,TECH,Matriz/fixture,1,S/ 602.77,
2026-02-25,Coleccionables,Figura pintada a mano,2,"236,98",IG
2026-02-27,TECH,Escaneo y reingeniería,2,912.65,whatsapp
08/05/2026,Icon ,Figura pintada a mano,1,"138,75",Instagram
17/01/2025,Tech,,1,S/ 777.97,Referido
2026-08-15,IMPRESION,Repuesto a medida,1,S/ 55.36,whatsapp
25-ago-26,Impresión 3D,Repuesto a medida,1,94.59,whatsapp
15/01/2026,icon,Set diorama,1,125.08,whatsapp
15-ene-26,Coleccionables,Set diorama,20,S/ 2405.71,Instagram
2026-08-19,PRINT,Trofeo personalizado,1,150.66,whatsapp
15-dic-25,IMPRESION,Repuesto a medida,1,"157,94",Referido
4-mar-26,Impresión 3D,Trofeo personalizado,10,"1.478,91",Feria
28/02/2025,impresion 3d,Impresión PLA por encargo,1,"223,08",Instagram
,,,,,
2026-07-27,ICON,Llavero coleccionable,3,"64,68",Web
2025-02-03,Educación,Taller impresión 3D,5,"1.706,81",IG
2026-05-03,print ,Repuesto a medida,1,97.32,Instagram
11/02/2025,ICON,Set diorama,5,S/ 748.46,Web
2026-07-06,icon,Llavero coleccionable,2,30.77,Web
2026-08-24,TECH,Serie corta industrial,1,1541.39,Web
26/07/2026,Print,Impresión resina por encargo,5,S/ 544.39,
2025-09-08,EDU,Capacitación docentes,1,1633.81,Feria
2026-03-24,TECH,Matriz/fixture,3,"2.098,09",Feria
2026-06-21,ICON,Figura KUSI 10cm,1,67.49,Instagram
2025-03-26,EDU,Capacitación docentes,1,S/ 672.71,IG
6-feb-25,Print,Impresión resina por encargo,1,381.60,Referido
2026-02-18,ICON,Figura pintada a mano,1,139.37,Web
28/04/2026,Industrial,Matriz/fixture,10,3783.47,Referido
2025-11-14,impresion 3d,Impresión PLA por encargo,10,698.48,WhatsApp
23/06/2025,impresion 3d,Repuesto a medida,1,"45,60",Web
2026-01-05,TECH,Pieza técnica B2B,1,S/ 232.20,Referido
2025-05-16,Print,Impresión resina por encargo,2,383.07,
2025-09-18,Icon ,Llavero coleccionable,1,S/ 15.23,Feria
21/08/2025,tech ,Matriz/fixture,1,1023.29,Referido
2026-04-18,tech ,Pieza técnica B2B,1,S/ 185.06,whatsapp
2026-08-06,print ,Repuesto a medida,1,80.38,Referido
03/07/2025,ICON,Figura pintada a mano,1,"165,53",
05/06/2025,Icon ,Figura pintada a mano,1,150.38,WhatsApp
21/05/2026,Tech,Pieza técnica B2B,1,S/ 453.56,WhatsApp
2025-02-14,ICON,Figura pintada a mano,10,S/ 1691.31,WhatsApp
22/01/2026,IMPRESION,Prototipo funcional,1,S/ 524.86,Referido
24/04/2025,Impresión 3D,Prototipo funcional,1,S/ 214.87,
2026-01-11,Print,Impresión resina por encargo,1,"210,04",
2026-05-03,ICON,Figura Quri 8cm,5,186.56,
09/03/2026,Icon ,Figura KUSI 10cm,1,S/ 62.86,WhatsApp
15/08/2025,impresion 3d,,1,S/ 67.36,Instagram
15-ene-25,ICON,Figura pintada a mano,1,131.61,whatsapp
09/08/2026,Edu,Taller robótica colegio,2,"2.508,70",IG
2025-03-23,icon,Set diorama,1,109.52,Instagram
